"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 21:04:22 GMT 2023","Wed May 03 21:04:23 GMT 2023","178","","CRUD of Users","","","","Delete User",""
"passed","Wed May 03 21:04:22 GMT 2023","Wed May 03 21:04:22 GMT 2023","205","","CRUD of Users","","","","Update User",""
"passed","Wed May 03 21:04:22 GMT 2023","Wed May 03 21:04:22 GMT 2023","177","","CRUD of Users","","","","Get Edited User",""
"passed","Wed May 03 21:04:22 GMT 2023","Wed May 03 21:04:22 GMT 2023","231","","CRUD of Users","","","","Create User",""
"passed","Wed May 03 21:04:22 GMT 2023","Wed May 03 21:04:22 GMT 2023","192","","CRUD of Users","","","","Get Created User",""
